_key,whoscored
Liverpool,Liverpool
Manchester City,Manchester City
Leicester City,Leicester
Chelsea,Chelsea
Tottenham,Tottenham
Sheffield Utd,Sheffield United
Manchester Utd,Manchester United
Wolves,Wolverhampton Wanderers
Everton,Everton
Arsenal,Arsenal
Burnley,Burnley
Newcastle Utd,Newcastle United
Southampton,Southampton
Crystal Palace,Crystal Palace
Brighton,Brighton
Bournemouth,Bournemouth
Aston Villa,Aston Villa
West Ham,West Ham
Watford,Watford
Norwich City,Norwich
Cardiff City,Cardiff
Fulham,Fulham
Huddersfield,Huddersfield
Leeds United,Leeds
West Brom,West Bromwich Albion
Brentford,Brentford
Real Madrid,Real Madrid
Barcelona,Barcelona
Getafe,Getafe
Sevilla,Sevilla
Valencia,Valencia
Atlético Madrid,Atletico Madrid
Villarreal,Villarreal
Real Sociedad,Real Sociedad
Athletic Club,Athletic Bilbao
Granada,Granada
Osasuna,Osasuna
Betis,Real Betis
Levante,Levante
Valladolid,Real Valladolid
Alavés,Deportivo Alaves
Eibar,Eibar
Mallorca,Mallorca
Leganés,Leganes
Celta Vigo,Celta Vigo
Espanyol,Espanyol
Girona,Girona
Huesca,SD Huesca
Rayo Vallecano,Rayo Vallecano
Cádiz,Cadiz
Elche,Elche
Juventus,Juventus
Inter,Inter
Lazio,Lazio
Atalanta,Atalanta
Roma,Roma
Milan,AC Milan
Cagliari,Cagliari
Parma,Parma Calcio 1913
Bologna,Bologna
Napoli,Napoli
Hellas Verona,Verona
Torino,Torino
Sassuolo,Sassuolo
Fiorentina,Fiorentina
Udinese,Udinese
Sampdoria,Sampdoria
Lecce,Lecce
Genoa,Genoa
Brescia,Brescia
SPAL,SPAL 2013
Empoli,Empoli
Frosinone,Frosinone
Chievo,Chievo
Benevento,Benevento
Crotone,Crotone
Spezia,Spezia
Salernitana,Salernitana
Venezia,Venezia
Bayern Munich,Bayern Munich
RB Leipzig,RB Leipzig
Dortmund,Borussia Dortmund
M'Gladbach,Borussia M'Gladbach
Leverkusen,Bayer Leverkusen
Schalke 04,Schalke 04
Hoffenheim,Hoffenheim
Freiburg,Freiburg
Wolfsburg,Wolfsburg
Augsburg,Augsburg
Eint Frankfurt,Eintracht Frankfurt
Union Berlin,Union Berlin
Hertha BSC,Hertha Berlin
Köln,FC Koln
Mainz 05,Mainz 05
Werder Bremen,Werder Bremen
Düsseldorf,Fortuna Duesseldorf
Paderborn 07,Paderborn
Stuttgart,VfB Stuttgart
Hannover 96,Hannover 96
Nürnberg,Nuernberg
Arminia,Arminia Bielefeld
Bochum,Bochum
Greuther Fürth,Greuther Fuerth
Paris S-G,Paris Saint-Germain
Marseille,Marseille
Rennes,Rennes
Lille,Lille
Montpellier,Montpellier
Lyon,Lyon
Reims,Reims
Nice,Nice
Nantes,Nantes
Bordeaux,Bordeaux
Strasbourg,Strasbourg
Angers,Angers
Monaco,Monaco
Brest,Brest
Saint-Étienne,Saint-Etienne
Metz,Metz
Dijon,Dijon
Amiens,Amiens
Nîmes,Nimes
Toulouse,Toulouse
Caen,Caen
Guingamp,Guingamp
Lorient,Lorient
Lens,Lens
Troyes,Troyes
Clermont Foot,Clermont Foot
Ajax,Ajax
RB Salzburg,Salzburg
Zenit,Zenit St' Petersburg
Benfica,Benfica
Dinamo Zagreb,Dinamo Zagreb
Olympiacos,Olympiacos
Loko Moscow,Lokomotiv Moscow
Shakhtar,Shakhtar Donetsk
Slavia Prague,Slavia Prague
Genk,Genk
Club Brugge,Club Brugge
Galatasaray,Galatasaray
Red Star,FK Crvena Zvezda
Porto,FC Porto
CSKA Moscow,CSKA Moscow
PSV Eindhoven,PSV Eindhoven
Viktoria Plzeň,Viktoria Plzen
Basel,FC Basel 1893
Midtjylland,FC Midtjylland
AEK Athens,AEK Athens
Braga,Braga
AZ Alkmaar,AZ Alkmaar
Sporting CP,Sporting CP
LASK,LASK
Rangers,Rangers
Başakşehir,Istanbul Basaksehir
Celtic,Celtic
Gent,Gent
Ludogorets,Ludogorets Razgrad
APOEL,APOEL Nicosia
Slovan Bratislava,Slovan Bratislava
Partizan,Partizan Belgrade
FC Copenhagen,FC Copenhagen
Malmö,Malmoe FF
Standard Liège,Standard Liege
F91 Dudelange,F91 Dudelange
Young Boys,BSC Young Boys
Qarabağ Ağdam,Qarabag FK
